,Asset,Open_Time,Open_Price,Direction,Close_Time,Close_Price,Predicted_Return,Position,Real_direction
0,AU,2017-08-21,281.8,-1.0,2017-08-21,279.7,-0.003494742294188868,4742694000.0,1
1,AU,2017-08-29,280.3,1.0,2017-08-29,283.8,0.0020707194580706877,4746880500.0,-1
2,AU,2017-08-30,283.8,-1.0,2017-08-30,280.35,-0.0025753239124488344,4805301600.0,1
3,AU,2017-08-31,280.35,-1.0,2017-08-31,279.9,-0.0039015067247137707,4714926300.0,1
4,AU,2017-09-04,282.25,-1.0,2017-09-04,284.2,-0.00312700500765232,4792605000.0,-1
5,AU,2017-09-05,283.2,-1.0,2017-09-05,283.65,-0.0035065002437999725,4815532800.0,-1
6,AU,2017-09-11,283.25,-1.0,2017-09-11,282.4,-0.003469182117281462,4808735250.0,1
7,AU,2017-09-12,282.3,-1.0,2017-09-12,281.1,-0.0022475178219430545,4773128400.0,1
8,AU,2017-09-13,281.2,-1.0,2017-09-13,281.5,-0.002151969342999818,4751155200.0,-1
9,AU,2017-09-19,279.65,1.0,2017-09-19,279.8,0.0031329145581446075,4693086300.0,-1
10,AU,2017-09-28,278.55,-1.0,2017-09-28,277.7,-0.0042972984301184935,6196066200.0,1
11,AU,2017-10-09,276.4,-1.0,2017-10-09,276.75,-0.0022845917102805166,4594597200.0,-1
12,AU,2017-10-12,276.35,-1.0,2017-10-12,277.1,-0.0034005981327381125,4586304600.0,-1
13,AU,2017-10-23,276.0,1.0,2017-10-23,274.9,0.0022689092013867228,4558968000.0,1
14,AU,2017-10-24,274.7,1.0,2017-10-24,275.8,0.0025359296314225767,4540791000.0,-1
15,AU,2017-11-07,273.75,-1.0,2017-11-07,274.75,-0.002517049443313742,7513068750.0,-1
16,AU,2017-11-08,274.8,-1.0,2017-11-08,274.8,-0.0038400381015354906,7547382000.0,-1
17,AU,2018-01-17,281.05,1.0,2018-01-17,280.8,0.05835787567381029,3950157750.0,1
18,AU,2018-01-22,278.9,-1.0,2018-01-22,278.5,-0.0022845454952817846,3888563249.9999995,1
19,AU,2018-01-23,278.9,-1.0,2018-01-23,279.4,-0.003779149858654409,3892049499.9999995,-1
20,AU,2018-01-24,279.65,-1.0,2018-01-24,280.7,-0.00407181764209372,3912303499.9999995,-1
21,AU,2018-01-25,281.25,-1.0,2018-01-25,281.75,-0.0032232131350314643,3957187500.0,-1
22,AU,2018-01-29,279.4,-1.0,2018-01-29,278.7,-0.0030402135433163276,3901122499.9999995,1
23,AU,2018-01-31,277.55,-1.0,2018-01-31,276.6,-0.004111148529659233,3845455250.0,1
24,AU,2018-02-05,276.15,-1.0,2018-02-05,274.0,-0.0026321823526674277,3792229874.9999995,1
25,AU,2018-02-07,274.95,-1.0,2018-02-07,272.3,-0.002913947160686442,3753754875.0,1
26,AU,2018-02-08,271.65,-1.0,2018-02-08,271.7,-0.002684473348775443,3684253124.9999995,-1
27,AU,2018-02-13,272.7,-1.0,2018-02-13,274.25,-0.0023523622681437366,5220841500.0,-1
28,AU,2018-03-13,271.8,1.0,2018-03-13,272.3,0.0024013642113378314,3699198000.0,-1
29,AU,2018-03-14,273.0,1.0,2018-03-14,272.75,0.0020851326143782934,3725085000.0,1
30,AU,2018-03-26,276.9,1.0,2018-03-26,276.15,0.0022196673727592066,3830219249.9999995,1
31,AU,2018-03-28,274.3,1.0,2018-03-28,274.2,0.0022360478978013646,3765453250.0,1
32,AU,2018-03-29,273.45,1.0,2018-03-29,271.05,0.0030268401219023912,3721654500.0,1
33,AU,2018-04-10,273.35,1.0,2018-04-10,272.7,0.0026227611381228417,3732594250.0000005,1
34,AU,2018-04-11,273.35,1.0,2018-04-11,274.3,0.0027574494240473675,3739428000.0000005,-1
35,AU,2018-04-12,275.9,1.0,2018-04-12,275.2,0.0027756038156742887,3799832749.9999995,1
36,AU,2018-04-19,275.6,-1.0,2018-04-19,275.2,-0.0020984849012443646,3790189000.0000005,1
37,AU,2018-04-23,273.65,-1.0,2018-04-23,272.55,-0.0021548446024811678,3731901874.9999995,1
38,AU,2018-04-26,271.3,1.0,2018-04-26,271.9,0.00204427476452185,3684932250.0,-1
39,AU,2018-05-24,271.15,-1.0,2018-05-24,272.25,-0.003066959322785716,3679505499.9999995,-1
40,AU,2018-05-28,274.1,-1.0,2018-05-28,272.35,-0.0023360972109229307,3742150250.0000005,1
41,AU,2018-06-06,272.0,-1.0,2018-06-06,272.4,-0.0027823756989256293,3705320000.0,-1
42,AU,2018-06-26,271.4,-1.0,2018-06-26,271.25,-0.0031802829727782364,3683576499.9999995,1
43,AU,2018-07-11,272.15,-1.0,2018-07-11,272.85,-0.002065830454440243,3708724124.9999995,-1
44,AU,2018-08-09,269.0,1.0,2018-08-09,269.55,0.0036308678406310373,3620740000.0,-1
45,AU,2018-08-13,270.15,1.0,2018-08-13,270.1,0.0020577203742982025,3650401874.9999995,1
46,AU,2018-10-30,277.85,1.0,2018-10-30,277.25,0.0020921031674375804,3854474125.0000005,1
47,AU,2018-11-20,278.5,-1.0,2018-11-20,279.3,-0.0027121959307989654,3883682500.0,-1
48,AU,2018-12-12,282.3,-1.0,2018-12-12,281.2,-0.002936238526232554,3976195500.0,1
49,AU,2018-12-13,281.4,-1.0,2018-12-13,280.8,-0.0027382209773595674,3955076999.9999995,1
50,AU,2018-12-19,281.95,1.0,2018-12-19,282.55,0.0026343106173721707,3980429125.0,-1
51,AU,2018-12-25,285.6,1.0,2018-12-25,287.1,0.0021052806169323504,4091934000.0000005,-1
52,AU,2019-04-15,282.55,-1.0,2019-04-15,281.75,-0.0025631299714543696,3988193250.0,1
53,AU,2019-04-16,281.25,-1.0,2019-04-16,281.5,-0.003081534202854304,3958593750.0,-1
54,AU,2019-04-17,280.45,-1.0,2019-04-17,280.0,-0.0029203289867626965,3925598875.0,1
55,AU,2019-04-18,279.5,-1.0,2019-04-18,278.2,-0.002713231382134957,3895531250.0,1
56,AU,2019-04-22,279.75,-1.0,2019-04-22,280.3,-0.0027767535014519198,3918598125.0,-1
57,AU,2019-05-07,284.8,-1.0,2019-05-07,285.7,-0.0024732880040365616,8037056000.0,-1
58,AU,2019-06-13,302.1,1.0,2019-06-13,303.2,0.002484831549023568,4566996750.0,-1
59,AU,2019-06-17,306.3,1.0,2019-06-17,304.1,0.0027689260788138163,4681029750.0,1
60,AU,2019-06-20,303.95,1.0,2019-06-20,311.25,0.0025641380712681638,4699067000.0,-1
61,AU,2019-06-24,314.45,1.0,2019-06-24,315.8,0.0037499168596753243,4949443000.0,-1
62,AU,2019-07-15,316.35,1.0,2019-07-15,317.75,0.003389053532352413,5016520125.0,-1
63,AU,2019-07-31,321.05,1.0,2019-07-31,322.25,0.002462786839536297,5160878750.0,-1
64,AU,2019-08-06,336.9,-1.0,2019-08-06,335.55,-0.005416238373234886,5677607250.0,1
65,AU,2019-08-07,336.0,-1.0,2019-08-07,341.8,-0.009422500378759132,5706960000.0,-1
66,AU,2019-08-08,344.6,-1.0,2019-08-08,344.35,-0.005105453621703652,5965887500.0,1
67,AU,2019-08-12,345.6,-1.0,2019-08-12,344.25,-0.006081337519927747,5979744000.0,1
68,AU,2019-08-14,351.55,1.0,2019-08-14,342.95,0.0035700054077922225,6062479750.0,1
69,AU,2019-08-21,346.3,1.0,2019-08-21,345.35,0.0037392264046439585,5995318750.0,1
70,AU,2019-08-27,355.7,-1.0,2019-08-27,358.7,-0.0026636409805550535,6359916000.0,-1
71,AU,2019-09-09,351.1,1.0,2019-09-09,350.6,0.0025936829681652077,6168827000.0,1
72,AU,2019-11-07,336.5,1.0,2019-11-07,338.35,0.0020014949567791042,11353510000.0,-1
73,AU,2019-11-19,334.8,1.0,2019-11-19,338.3,0.002097432471389912,11165580000.0,-1
